decision_id,date,horizon,option,is_chosen,not_scored,n_assets,weights,diff_pct_vs_chosen,scored,chosen_beat
2026-09-07-es-20k,2026-09-07,1m,chosen,1,0,3,A7:0.5;A2:0.35;A4:0.15,,0,
2026-09-07-es-20k,2026-09-07,1m,alt_1,0,0,1,A1:1.0,,0,
2026-09-07-es-20k,2026-09-07,1m,alt_2,0,0,5,A7:0.5;cash:0.35;A5:0.0664;A2:0.0561;A4:0.0274,,0,
2026-09-07-es-20k,2026-09-07,1m,alt_3,0,0,2,A7:0.7;cash:0.3,,0,
2026-09-07-es-20k,2026-09-07,1m,alt_4,0,0,3,A7:0.65;A4:0.2;A5:0.15,,0,
2026-09-07-es-20k,2026-09-07,1m,alt_5,0,1,,,,0,
2026-09-07-es-20k,2026-09-07,3m,chosen,1,0,3,A7:0.5;A2:0.35;A4:0.15,,0,
2026-09-07-es-20k,2026-09-07,3m,alt_1,0,0,1,A1:1.0,,0,
2026-09-07-es-20k,2026-09-07,3m,alt_2,0,0,5,A7:0.5;cash:0.35;A5:0.0664;A2:0.0561;A4:0.0274,,0,
2026-09-07-es-20k,2026-09-07,3m,alt_3,0,0,2,A7:0.7;cash:0.3,,0,
2026-09-07-es-20k,2026-09-07,3m,alt_4,0,0,3,A7:0.65;A4:0.2;A5:0.15,,0,
2026-09-07-es-20k,2026-09-07,3m,alt_5,0,1,,,,0,
2026-09-07-es-20k,2026-09-07,6m,chosen,1,0,3,A7:0.5;A2:0.35;A4:0.15,,0,
2026-09-07-es-20k,2026-09-07,6m,alt_1,0,0,1,A1:1.0,,0,
2026-09-07-es-20k,2026-09-07,6m,alt_2,0,0,5,A7:0.5;cash:0.35;A5:0.0664;A2:0.0561;A4:0.0274,,0,
2026-09-07-es-20k,2026-09-07,6m,alt_3,0,0,2,A7:0.7;cash:0.3,,0,
2026-09-07-es-20k,2026-09-07,6m,alt_4,0,0,3,A7:0.65;A4:0.2;A5:0.15,,0,
2026-09-07-es-20k,2026-09-07,6m,alt_5,0,1,,,,0,
