record_id,logged_date,event_date,latency_days,detected_by,is_repeat,prior_record,class_k,mechanism_k,score_effect
K1,2026-08-01,2026-08-01,0,agent,no,,model,cross_check,
K2,2026-08-01,2026-08-01,0,agent,no,,measurement,reasoning,
K3,2026-08-01,2026-08-01,0,agent,no,,measurement,reasoning,
K4,2026-08-01,2026-08-01,0,agent,no,,measurement,reasoning,
K5,2026-08-02,2026-08-02,0,agent,no,,engine,engine_warning,
K6,2026-08-02,2026-08-01,1,human,no,,institution,human,
K7,2026-08-03,2026-08-01,2,agent,no,,data,cross_check,
K8,2026-08-03,2026-08-03,0,human,no,,accounting,human,
K9,2026-08-03,2026-08-01,2,agent,yes,K1,model,cross_check,
K10,2026-08-04,2026-08-04,0,agent,yes,K9,process,reasoning,
K11,2026-08-05,2026-08-04,1,agent,no,,data,cross_check,neutral
K12,2026-08-05,2026-08-05,0,agent,no,,verification,reconciliation,
K13,2026-08-05,2026-08-04,1,agent,yes,K11,process,reasoning,
K14,2026-08-06,2026-08-06,0,human,no,,institution,human,
K15,2026-08-06,2026-08-06,0,human,no,,accounting,custodian_statement,
K16,2026-08-07,2026-08-07,0,human,no,,process,human,
K17,2026-08-07,2026-08-01,6,agent,no,,measurement,reasoning,
K18,2026-08-07,2026-08-07,0,agent,yes,K2,measurement,reasoning,
K19,2026-08-08,2026-08-07,1,agent,yes,K11,data,cross_check,
K20,2026-08-08,2026-08-08,0,agent,no,,model,next_day_observation,
K21,2026-08-08,2026-08-07,1,agent,no,,model,next_day_observation,
K22,2026-08-10,2026-08-01,9,agent,no,,model,cross_check,
K23,2026-08-10,2026-08-09,1,agent,yes,K19,data,cross_check,favorable
K24,2026-08-10,2026-08-08,2,agent,yes,K17,measurement,engine_warning,
K25,2026-08-10,2026-08-01,9,agent,no,,measurement,next_day_observation,
K26,2026-08-11,2026-08-10,1,agent,yes,K21,model,next_day_observation,
K27,2026-08-11,2026-08-10,1,agent,no,,model,next_day_observation,
K28,2026-08-12,2026-08-11,1,agent,no,,data,cross_check,neutral
K29,2026-08-12,2026-08-10,2,human,no,,institution,custodian_statement,unfavorable
K30,2026-08-12,2026-08-04,8,human,no,,institution,custodian_statement,
K31,2026-08-13,2026-08-01,12,agent,no,,measurement,reasoning,unfavorable
K32,2026-08-13,2026-08-13,0,agent,no,K31,measurement,cross_check,
