as_of,asset_id,horizon,horizon_days,target_date,point_pct,low_pct,high_pct,band_width_pct,band_skew,interval,p_up,confidence,n_drivers,driver_max_weight,is_mechanical,model_id,band_shadow_low,band_shadow_high,band_shadow_rule
2026-08-01,A1,1d,1,2026-08-02,0.0,-0.8,0.8,1.6,0.0,80,0.5,low,3,high,0,model_A,,,
2026-08-01,A1,1w,7,2026-08-10,0.3,-4.0,5.0,9.0,0.5,80,0.54,low,5,high,0,model_A,,,
2026-08-01,A1,1m,30,2026-08-31,2.0,-8.0,13.0,21.0,2.5,80,0.58,low,3,high,0,model_A,,,
2026-08-01,A4,1d,1,2026-08-03,-0.4,-2.4,1.6,4.0,-0.4,80,0.44,low,2,high,0,model_A,,,
2026-08-01,A4,1w,7,2026-08-10,0.3,-5.5,6.5,12.0,0.5,80,0.53,low,4,high,0,model_A,,,
2026-08-01,A4,1m,30,2026-08-31,2.0,-11.0,15.0,26.0,2.0,80,0.56,low,3,high,0,model_A,,,
2026-08-01,A2,1d,1,2026-08-03,0.9,-1.3,3.1,4.4,0.9,80,0.62,medium,2,high,0,model_A,,,
2026-08-01,A2,1w,7,2026-08-10,0.4,-4.5,5.5,10.0,0.5,80,0.52,low,4,high,0,model_A,,,
2026-08-01,A2,1m,30,2026-08-31,1.5,-11.0,14.0,25.0,1.5,80,0.55,low,4,high,0,model_A,,,
2026-08-01,A3,1d,1,2026-08-03,0.1,-0.5,0.7,1.2,0.1,80,0.6,low,2,high,0,model_A,,,
2026-08-01,A3,1w,7,2026-08-10,0.75,-0.8,2.3,3.1,0.75,80,0.7,low,3,high,0,model_A,,,
2026-08-01,A3,1m,30,2026-08-31,3.2,-2.0,8.0,10.0,3.0,80,0.7,low,3,high,0,model_A,,,
2026-08-02,A1,1d,1,2026-08-03,0.15,-1.6,1.9,3.5,0.15,80,0.53,low,3,high,0,model_A,,,
2026-08-02,A1,1w,7,2026-08-10,0.5,-3.8,5.0,8.8,0.6,80,0.55,low,3,high,0,model_A,,,
2026-08-02,A1,1m,30,2026-09-01,2.2,-7.5,13.0,20.5,2.75,80,0.58,low,3,high,0,model_A,,,
2026-08-02,A4,1d,1,2026-08-03,-0.2,-2.2,1.8,4.0,-0.2,80,0.47,low,2,high,0,model_A,,,
2026-08-02,A4,1w,7,2026-08-10,0.4,-5.2,6.2,11.4,0.5,80,0.53,low,3,high,0,model_A,,,
2026-08-02,A4,1m,30,2026-09-01,2.2,-10.5,14.5,25.0,2.0,80,0.56,low,2,high,0,model_A,,,
