as_of,asset_id,horizon,horizon_days,target_date,status,point_pct,actual_pct,abs_err,signed_err,low_pct,high_pct,in_band,p_up,direction_hit,brier,protocol_version,model_id,day_type,confidence,horizon_kind,paired_gain_pp,baseline_naive_pct,baseline_drift_pct,baseline_momentum_pct,beat_naive,beat_drift,beat_momentum,beat_all_three
2026-08-01,A1,1d,1,2026-08-02,resolved,0.0,0.0,0.0,-0.0,-0.8,0.8,1,0.5,,,1,model_A,weekend,low,forecast,0.0,0.0,,,False,,,
2026-08-01,A4,1d,1,2026-08-03,resolved,-0.4,1.087,1.487,-1.487,-2.4,1.6,1,0.44,0,0.3136,1,model_A,weekend,low,forecast,-0.4,0.0,,,False,,,
2026-08-01,A2,1d,1,2026-08-03,resolved,0.9,-2.514,3.414,3.414,-1.3,3.1,0,0.62,0,0.3844,1,model_A,weekend,medium,forecast,-0.9,0.0,,,False,,,
2026-08-01,A3,1d,1,2026-08-03,resolved,0.1,9.412,9.312,-9.312,-0.5,0.7,0,0.6,1,0.16,1,model_A,weekend,low,forecast,0.1,0.0,,,True,,,
2026-08-02,A1,1d,1,2026-08-03,resolved,0.15,0.354,0.204,-0.204,-1.6,1.9,1,0.53,1,0.2209,1,model_A,weekend,low,forecast,0.15,0.0,,,True,,,
2026-08-02,A4,1d,1,2026-08-03,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-02,A2,1d,1,2026-08-03,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-02,A3,1d,1,2026-08-03,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-03,A1,1d,1,2026-08-04,resolved,-0.3,0.22,0.52,-0.52,-2.5,2.0,1,0.45,0,0.3025,1,model_A,data,low,forecast,-0.3,0.0,,,False,,,
2026-08-03,A4,1d,1,2026-08-04,resolved,-0.3,-0.057,0.243,-0.243,-2.3,1.7,1,0.45,1,0.2025,1,model_A,data,low,forecast,-0.186,0.0,,,False,,,
2026-08-03,A2,1d,1,2026-08-04,resolved,0.8,0.654,0.146,0.146,-1.4,3.0,1,0.6,1,0.16,1,model_A,data,low,forecast,0.508,0.0,,,True,,,
2026-08-03,A3,1d,1,2026-08-04,resolved,0.6,0.443,0.157,0.157,-1.8,3.4,1,0.54,1,0.2116,1,model_A,data,low,forecast,0.286,0.0,,,True,,,
2026-08-04,A1,1d,1,2026-08-05,resolved,0.15,2.804,2.654,-2.654,-1.6,1.9,0,0.54,1,0.2116,1,model_A,calm,low,forecast,0.15,0.0,0.22,0.22,True,False,False,False
2026-08-04,A4,1d,1,2026-08-05,resolved,0.1,1.616,1.516,-1.516,-2.0,2.2,1,0.52,1,0.2304,1,model_A,calm,low,forecast,0.1,0.0,-0.057,-0.057,True,True,True,True
2026-08-04,A2,1d,1,2026-08-05,resolved,0.1,4.338,4.238,-4.238,-2.2,2.4,0,0.51,1,0.2401,1,model_A,calm,low,forecast,0.1,0.0,0.654,0.654,True,False,False,False
2026-08-04,A6,1d,1,2026-08-05,resolved,0.06,-0.098,0.158,0.158,-0.2,0.35,1,0.6,0,0.36,1,model_A,calm,low,forecast,-0.06,0.0,0.031,0.031,False,False,False,False
